synthetic_plant_0	7
-0.2175967 -0.197996 0.3890347
-0.3266242 -0.1499821 -0.1397626
0.2493062 0.394117 -0.1112445
-0.1454347 0.2500716 0.2032795
0.3791175 0.0188154 -0.1475051
-0.2207308 -0.01506409 -0.2565699
0.3399972 -0.2424664 0.1936255
synthetic_plant_1	12
0.4250472 -0.02875313 -0.204105
0.3020099 -0.1181091 -0.08180133
-0.06036499 -0.3491971 -0.2201999
0.001962721 0.003126919 -0.152251
-0.02031612 -0.3601303 -0.02928832
0.3734319 -0.2125429 -0.00761795
-0.1636186 -0.2955496 0.266434
0.2882276 0.1126812 -0.229407
-0.2072223 0.2957444 0.2354701
0.1302812 0.444467 0.1226081
-0.2225489 0.3137351 -0.1442508
-0.04170763 -0.1393877 0.02460849
synthetic_plant_2	13
-0.1021589 -0.2211942 0.009240091
0.07485092 0.2749923 0.3940129
0.2944908 -0.1326006 -0.004902452
-0.1033724 0.09287292 0.470177
0.2089099 0.1006303 0.2897686
-0.08659735 0.04586202 0.192173
0.01767415 -0.07349095 0.07057142
-0.2689449 -0.06265041 -0.3566169
0.2983486 -0.05705565 0.05684507
-0.1910557 -0.08336976 0.01995641
-0.272082 -0.01755744 -0.01305836
-0.07724488 0.003451586 -0.1274163
-0.214052 0.3314797 -0.3019017
synthetic_plant_3	9
0.009022713 -0.4068926 0.1967472
0.3890573 -0.1032191 -0.0447613
-0.2150344 0.2674894 -0.2364348
-0.4104602 0.1672664 0.2167026
-0.03181717 0.01429868 -0.07558832
0.3948646 0.2390288 0.1348518
0.1305706 -0.009516716 -0.2781889
0.2611484 0.2367706 0.03721339
0.2037329 -0.02499297 -0.1346946
synthetic_plant_4	13
-0.2197062 -0.3062664 0.003754616
0.05369145 -0.3112805 -0.2153368
0.3694115 0.2472426 0.1311176
-0.3740318 -0.2370551 -0.1150886
-0.3527154 0.28684 0.1941855
-0.3560472 0.1032165 0.0691089
0.04619384 -0.1500913 -0.1696058
-0.1720901 0.3551244 0.1287127
0.3154415 0.3426863 0.05056536
-0.1443941 0.4125431 0.2230309
0.1326606 0.07679433 -0.1229416
-0.343114 -0.2565985 -0.1893434
-0.1602773 0.1221268 0.4161373
synthetic_plant_5	12
-0.1542154 0.3584613 -0.1493526
-0.1483325 -0.4051667 -0.04986411
-0.2266001 0.4391634 0.05655795
0.007994533 0.1301591 -0.255779
0.04884517 0.231504 0.02513969
-0.1931709 0.1327732 -0.04855514
-0.02583387 -0.2088266 -0.3304691
-0.04742581 -0.1003411 -0.4143843
-0.1889262 -0.2784731 -0.3091239
0.3268381 -0.1301664 0.1001163
0.2174449 -0.1150554 -0.3738143
0.3707209 -0.2613891 -0.1279296
synthetic_plant_6	13
0.03198665 -0.08142981 -0.4765308
-0.2383399 -0.2998237 0.1390208
0.3987975 0.2809119 0.09780753
0.4567164 0.06981015 -0.1471579
0.08215696 -0.02789524 0.4748286
-0.2919496 0.3246119 -0.1907951
0.332588 -0.0178757 0.05449623
-0.01574746 0.1860107 -0.198445
-0.05631256 -0.2757018 -0.3977474
-0.2829018 -0.2396776 -0.3128952
0.1548353 -0.2356382 -0.34386
-0.04860327 -0.2861218 0.1307933
0.05727935 -0.2227213 0.05785662
synthetic_plant_7	12
0.3486375 -0.2938325 -0.1456521
0.1089138 0.4421892 -0.1115183
0.3219616 -0.3613864 -0.00123173
-0.2660994 0.01866239 -0.1165875
-0.05660945 -0.3822301 -0.2872974
0.2873399 0.2274932 -0.2215177
0.2657025 0.02061582 0.1304565
-0.1807915 -0.3565808 0.03589356
0.3692737 -0.1456481 0.1299724
0.3187539 0.01303262 -0.001594722
-0.3297994 -0.2522054 -0.0345543
0.1983234 0.3751002 -0.1323703
synthetic_plant_8	13
0.1361399 0.3424386 0.1587495
-0.1512132 0.1357514 0.4476527
-0.05368438 0.3379591 -0.10729
0.1850783 -0.1102018 -0.1289007
-0.09696671 -0.1557892 -0.2873257
-0.1678305 0.2761342 0.1004784
-0.2401112 0.1653793 0.3457345
0.145138 -0.4064006 -0.1702534
0.1745892 0.1909602 0.05276585
0.02773631 0.3844542 0.1627101
0.3621791 0.07139069 -0.1759643
-0.2956401 0.1001858 -0.2088502
-0.3350419 0.1009865 -0.1746086
synthetic_plant_9	5
-0.2518802 0.03231895 -0.1316522
0.2963673 0.08007902 -0.03692731
0.1610715 -0.1889621 0.2521241
-0.2481469 -0.2144752 -0.2604846
-0.1079836 -0.1606707 -0.1870638
synthetic_plant_10	13
-0.1467649 0.05508822 -0.4577844
0.3080141 0.2731863 0.2297767
0.1631225 0.2433834 0.2985437
-0.4381833 0.04469997 -0.0635716
0.2788089 -0.2716005 -0.1994244
-0.1594296 -0.1414368 0.1668451
-0.01908785 0.412541 -0.1965234
-0.09156835 0.04790717 -0.4376196
-0.07322708 -0.1950767 -0.1112876
0.2805972 0.2194923 0.03947467
-0.1190568 -0.1169039 -0.4535861
0.1673467 0.1734672 0.3141022
0.2165744 0.3411738 -0.1391055
synthetic_plant_11	14
0.1806679 0.08620942 -0.1543552
0.05598235 -0.06737363 0.1702847
-0.06607455 -0.1629993 0.2167797
0.3298911 0.2248929 -0.05415946
-0.3314859 0.0837552 -0.1505977
0.1151527 0.3076453 -0.2712625
-0.2227842 0.1271745 0.1122766
0.06447035 0.2991447 -0.1960333
-0.2083779 -0.1787316 0.3528961
0.1089419 0.3109151 0.03984725
0.04245436 0.3509914 -0.3020991
-0.4618717 0.01501423 0.1021236
0.2784125 0.188553 -0.2374805
-0.1891294 0.2978927 -0.199002
synthetic_plant_12	5
0.02691859 0.2179878 -0.2600694
-0.2465364 -0.2478388 0.02194017
0.1767091 0.4399992 0.01903331
0.3755687 0.2233541 -0.2312431
0.08089161 -0.1757331 -0.2278631
synthetic_plant_13	6
-0.2674816 0.1744158 -0.3497585
0.1442495 0.3458197 -0.2175826
0.2892627 0.2241001 -0.1331364
0.01758975 0.03239131 -0.3467715
0.1978608 -0.2021673 0.1252795
0.09873509 -0.02913079 0.355699
synthetic_plant_14	11
0.1674183 -0.1810834 -0.1177538
0.1794542 0.3952401 -0.2043048
-0.3129984 0.1931696 -0.1837028
-0.04005986 -0.06845605 -0.07146856
0.1358526 0.05593318 -0.3165987
-0.4121372 0.07734841 0.2350363
0.4880457 -0.04364279 -0.05784479
-0.2713386 -0.1688218 0.1445038
-0.2893771 0.2409847 -0.2869118
-0.08902431 -0.2181515 -0.1513881
0.07531941 -0.01507366 0.4181375
synthetic_plant_15	8
-0.2843556 -0.03890947 0.1902927
0.04695529 -0.06007162 0.3873991
-0.03561312 0.1060982 -0.1219288
-0.04596382 -0.2862157 -0.3137875
-0.1466015 0.05413353 0.2576365
0.2227092 -0.1468894 -0.2844343
-0.2921891 -0.05811086 -0.3707573
0.05304033 0.03585428 -0.240548
synthetic_plant_16	14
-0.3841773 -0.04855636 -0.06099394
-0.1152675 -0.1087433 -0.08198515
-0.03480306 -0.06729725 0.009307981
-0.1973142 0.3927021 -0.1837609
-0.2471446 -0.324903 -0.05496281
0.05200648 0.03721339 0.2786015
0.09321886 -0.0897193 -0.1589895
-0.1120296 0.3775954 -0.09364742
0.09961951 0.03626025 -0.003279686
-0.1098877 -0.183092 -0.0993439
-0.1461 0.1558591 -0.1086592
-0.4059133 0.04466236 0.0800913
-0.1590746 0.07963818 0.03761786
-0.1841324 0.3368855 -0.0414772
synthetic_plant_17	7
-0.06146404 0.3813508 -0.07229877
0.1684331 -0.3621781 -0.2977923
0.3721101 -0.3264521 0.003201604
0.03943139 0.4409934 0.07413822
0.1852719 0.1686435 -0.3394174
0.1628757 0.3326868 0.1271881
-0.2183797 0.02489048 -0.0375157
synthetic_plant_18	14
-0.2164364 0.01606476 -0.1252387
-0.147502 0.4354154 0.1948184
0.1410086 -0.3562167 -0.03617871
-0.1639649 -0.3658066 0.05290627
0.2610077 0.1356889 -0.2060206
0.1665421 -0.2227677 -0.323736
0.2873744 -0.132849 -0.256462
-0.1939006 0.201826 0.2625934
-0.01883334 0.3073616 -0.1455394
-0.4694178 0.002807736 -0.01858228
0.03408271 0.3960278 -0.006202668
-0.3273366 -0.1635322 -0.05473676
0.3913029 -0.0001535416 0.1309168
-0.2033644 0.06718129 0.1186558
synthetic_plant_19	6
0.0968684 -0.4290195 -0.1605302
-0.3641152 0.01323885 -0.224797
0.01643884 -0.3455032 0.05461633
-0.4514903 -0.1059007 -0.1048354
0.1315178 -0.3031949 0.07141745
0.3972419 -0.09625253 0.213239
synthetic_plant_20	5
-0.09001988 0.4325801 0.1625743
0.1685117 0.4070168 0.03390568
-0.1486115 0.2313973 0.3757504
0.0558899 0.3080698 0.3641574
-0.2926551 -0.2070209 0.2037997
synthetic_plant_21	12
-0.2580954 0.1956697 -0.3371035
-0.1354546 -0.1496021 -0.08125401
-0.05703306 -0.3950032 -0.09738681
-0.2202635 -0.02105474 0.3097842
0.3420743 -0.09016129 -0.04918236
0.4092361 -0.02388057 0.02355242
0.04607528 -0.2282832 -0.2917357
-0.3096534 0.1482171 -0.1194863
-0.423061 -0.1165566 -0.1987515
0.03103101 -0.07083052 -0.3453564
-0.114823 -0.3180989 0.09969932
0.4519826 0.1969459 -0.05081522
synthetic_plant_22	12
0.1821057 0.3082708 -0.3361811
0.258274 -0.0972183 -0.0193713
0.1467785 0.004676402 0.3801667
-0.2306201 -0.309137 0.1819878
-0.1090413 -0.3765043 0.140626
0.4688951 0.0722087 -0.150279
0.4660866 0.09010041 -0.1261584
-0.2660255 0.06708694 -0.3553712
-0.1358615 0.05208182 0.1931971
0.1176144 0.2740857 0.2966303
0.3304995 0.2302544 -0.1032229
0.3105026 0.2999661 -0.2293833
synthetic_plant_23	9
-0.1227584 -0.05480039 0.2283623
-0.1680489 0.1809753 -0.2552648
0.378619 -0.0160937 -0.2314692
-0.02513024 -0.2732872 -0.2524326
-0.007319897 0.2155117 0.2285976
0.05699426 0.2329583 0.1994688
-0.05710432 0.4764666 0.1298665
-0.0261533 0.4126837 0.07671291
-0.04629377 0.1695582 0.1124858
synthetic_plant_24	13
0.3990794 -0.1624415 0.0760569
0.1025965 -0.1241505 -0.1104691
-0.02819991 -0.3602625 -0.1951119
0.1573704 -0.2268633 -0.1956685
0.02095681 -0.2277648 -0.1750306
0.3091692 -0.1935816 -0.2212944
0.0867871 0.1811314 0.2553264
-0.3557714 -0.02168864 -0.3111383
0.1218863 -0.160497 0.1983993
-0.1198388 -0.2708263 0.256203
-0.1000793 0.279379 0.2354152
0.1413888 -0.4432611 0.07948703
-0.08915976 -0.08231303 -0.04718423
synthetic_plant_25	7
0.1909961 -0.287408 -0.3462309
0.2437897 0.3545049 -0.05828425
-0.2598459 -0.2413968 -0.1477165
-0.2502501 -0.01997551 0.2234362
-0.2882284 -0.07359535 0.158596
-0.3135231 0.1085508 0.2736984
-0.007474273 0.2192541 0.1917737
synthetic_plant_26	9
0.0240612 -0.03083497 0.2395878
0.3378972 0.1174676 -0.03484499
-0.02862084 0.1621517 0.4002912
-0.2031752 -0.203012 0.01172531
0.2097306 0.1680084 0.01974547
0.3170369 -0.1960897 -0.1800539
0.1724213 0.1374961 -0.3178226
-0.0668245 0.0009549856 0.1805223
0.2949097 -0.3084161 -0.1082084
synthetic_plant_27	7
-0.2023548 -0.1112598 -0.2065168
0.2373079 0.03073877 0.2036338
-0.263294 0.2197877 0.3008097
-0.04110494 0.4488779 -0.140682
-0.1662807 0.08506894 0.2114177
0.05853575 -0.1376281 0.3320463
-0.1767807 0.3250827 -0.07364786
synthetic_plant_28	8
-0.2670446 -0.3534341 -0.114677
0.09623283 -0.1852588 0.2029958
-0.168927 0.2980911 -0.03301266
0.4388466 -0.05517036 -0.08517247
-0.1791862 0.1341285 0.1897629
-0.2777978 -0.001185924 -0.2273733
-0.0149588 -0.3343171 -0.2414677
-0.07760701 0.1912004 0.2735089
synthetic_plant_29	14
-0.01259404 0.3142079 -0.03111693
0.2935982 0.3857068 -0.06204793
